1,"[[42  0  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
2,"[[41  1  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
3,"[[42  0  0  0]
 [18  0  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
4,"[[37  5  0  0]
 [17  1  0  0]
 [ 2  1  0  0]
 [ 3  0  0  0]]"
5,"[[42  0  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
6,"[[36  6  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
7,"[[41  1  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
8,"[[40  2  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
9,"[[40  2  0  0]
 [17  1  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
10,"[[41  1  0  0]
 [18  0  0  0]
 [ 3  0  0  0]
 [ 3  0  0  0]]"
